row_label,column_label,times_missing,total_files,missing_fraction
LH_Vis_2,RH_Default_Par_3,1,159,0.006289308176100629
LH_Vis_2,RH_Default_Temp_1,2,159,0.012578616352201259
LH_Vis_2,RH_Default_Temp_2,1,159,0.006289308176100629
LH_Vis_2,RH_Default_Temp_3,1,159,0.006289308176100629
LH_Vis_2,RH_Default_Temp_4,1,159,0.006289308176100629
LH_Vis_2,RH_Default_Temp_5,0,159,0.0
LH_Vis_2,RH_Default_PFCv_1,2,159,0.012578616352201259
LH_Vis_2,RH_Default_PFCdPFCm_1,2,159,0.012578616352201259
LH_Vis_2,RH_Default_PFCdPFCm_2,1,159,0.006289308176100629
LH_Vis_2,RH_Default_PFCdPFCm_3,1,159,0.006289308176100629
LH_Vis_2,RH_Default_PFCdPFCm_4,2,159,0.012578616352201259
LH_Vis_2,RH_Default_PFCdPFCm_5,3,159,0.018867924528301886
LH_Vis_2,RH_Default_PFCdPFCm_6,1,159,0.006289308176100629
LH_Vis_2,RH_Default_PFCdPFCm_7,1,159,0.006289308176100629
LH_Vis_2,RH_Default_pCunPCC_1,0,159,0.0
LH_Vis_2,RH_Default_pCunPCC_2,0,159,0.0
LH_Vis_2,RH_Default_pCunPCC_3,0,159,0.0
LH_Vis_3,LH_Vis_4,1,159,0.006289308176100629
LH_Vis_3,LH_Vis_5,5,159,0.031446540880503145
LH_Vis_3,LH_Vis_6,1,159,0.006289308176100629
LH_Vis_3,LH_Vis_7,1,159,0.006289308176100629
LH_Vis_3,LH_Vis_8,1,159,0.006289308176100629
LH_Vis_3,LH_Vis_9,1,159,0.006289308176100629
LH_Vis_3,LH_Vis_10,1,159,0.006289308176100629
LH_Vis_3,LH_Vis_11,1,159,0.006289308176100629
LH_Vis_3,LH_Vis_12,1,159,0.006289308176100629
LH_Vis_3,LH_Vis_13,1,159,0.006289308176100629
LH_Vis_3,LH_Vis_14,1,159,0.006289308176100629
LH_Vis_3,LH_SomMot_1,1,159,0.006289308176100629
LH_Vis_3,LH_SomMot_2,1,159,0.006289308176100629
LH_Vis_3,LH_SomMot_3,1,159,0.006289308176100629
LH_Vis_3,LH_SomMot_4,1,159,0.006289308176100629
LH_Vis_3,LH_SomMot_5,1,159,0.006289308176100629
LH_Vis_3,LH_SomMot_6,1,159,0.006289308176100629
